NAME,TYPE,SLOT,CLASS,RACE,MATERIAL,SIZE,WEIGHT,VALUE,RENT,ML,ABILITIES,FLAGS,SPELL_NAME,SPELL_LVL,SPELL_REMAIN_CHG,SPELL_MAX_CHG,AP_APPLY,CUSTOM,BINDING,SOCKET_REMAIN,SOCKET_DICE1,SOCKET_DICE2,SOCKET_AC,SOCKET_PROF,ENCHANT_RENT_ADD,ENCHANT_AC_ADD,ENCHANT_DICE1_ADD,ENCHANT_DICE2_ADD,ENCHANT_SOCKETS_USED,DAM_TYPE,DAM_DICE,DAM_AVG,REQ_WEAP_SKILL,AFFECT,PROF_MOD,CAST,MOB,ZONE,ORIG_RAW
"a small bundle of white sage",ENCHANT_MATERIAL,,NONE,NONE,organic,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,750,0,0,0,1,,,,,25RESIST_SHDW,,,random,random,"Object 'a small bundle of white sage', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 750, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   RESIST_SHDW By 25"
"two dragon bone dice",ENCHANT_MATERIAL,,NONE,NONE,dragon bone,special,1,10,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,3000,0,2,0,1,,,,,,,,random,random,"Object 'two dragon bone dice', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: dragon bone
Size: special
Weight: 1, Value: 10, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 3000, Adds 0 to Natural Armor AC.
Adds 2 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant."
"An engraved staff",LIGHT,,DRUID WIZARD,NONE,wood,special,8,120000,30000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","Object 'An engraved staff', Item type: LIGHT
Can be worn on: TAKE 
Class restrictions: DRUID WIZARD 
Race restrictions: NONE 
Object Material: wood
Size: special
Weight: 8, Value: 120000, Rent: 30000, Min Level: 0
This light modifies the light intensity of a room by 0
Hours left: Infinite"
"A crested helm",ARMOR,HEAD,NONE,NONE,iron,normal,7,35000,4000,20,HIDE,CURSED ANTI_GOOD ANTI_NEUTRAL UNIQUE UNBREAKABLE,,,,,10,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL 15MAXHIT,,,"","","Object 'A crested helm', Item type: ARMOR
Can be worn on: TAKE HEAD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: iron
Size: normal
Weight: 7, Value: 35000, Rent: 4000, Min Level: 20
Item will give you following abilities:  HIDE 
Item is: CURSED ANTI_GOOD ANTI_NEUTRAL UNIQUE UNBREAKABLE 
AP-apply is 10
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXHIT By 15
   DAMROLL By 2"
"A scarlet cloth",ARMOR,NECK,NONE,NONE,cotton,special,3,60000,8500,15,NONE,!IDENTIFY,,,,,10,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,,,,"","","Object 'A scarlet cloth', Item type: ARMOR
Can be worn on: TAKE NECK 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: cotton
Size: special
Weight: 3, Value: 60000, Rent: 8500, Min Level: 15
Item will give you following abilities:  NONE 
Item is: !IDENTIFY 
AP-apply is 10
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING"
"A Great Dragon Claw",WEAPON,WIELD,MONK,NONE,dragon skin,special,20,164874,20000,15,DETECT_ALIGN DETECT_INVIS SENSE_LIFE,UNIQUE UNBREAKABLE EVIL_FLAGGED,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,claw,4D4,10.0,fist attack,6FIRE_DMG 4HITROLL 5MAXHIT,,,"Smaug","Goblin Caves","Object 'A Great Dragon Claw', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: MONK 
Race restrictions: NONE 
Object Material: dragon skin
Size: special
Weight: 20, Value: 164874, Rent: 20000, Min Level: 15
Item will give you following abilities:  DETECT_ALIGN DETECT_INVIS SENSE_LIFE 
Item is: UNIQUE UNBREAKABLE EVIL_FLAGGED 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: claw,  Damage Dice: '4D4', Average Damage 10.0.
Requires Weapon Skill: fist attack
Can affect you as:
   MAXHIT By 5
   HITROLL By 4
   FIRE_DMG By 6"
"a powerful siren orb",ENCHANT_MATERIAL,,NONE,NONE,platinum,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,3000,0,0,0,1,,,,,4SONC_DMG,,,random,random,"Object 'a powerful siren orb', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: platinum
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 3000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   SONC_DMG By 4"
"The Splinter of the Minds Eye",OTHER,HOLD,NONE,NONE,stone,special,7,50000,8000,20,NONE,CURSED UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-50MAXHIT 30MAXMANA 6SPELL_CRIT_PCT -1STR,,,"in chest","Goblin Caves","Object 'The Splinter of the Minds Eye', Item type: OTHER
Can be worn on: TAKE HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: stone
Size: special
Weight: 7, Value: 50000, Rent: 8000, Min Level: 20
Item will give you following abilities:  NONE 
Item is: CURSED UNIQUE UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXHIT By -50
   STR By -1
   SPELL_CRIT_PCT By 6
   MAXMANA By 30"
"A Multi-faceted Gemstone",WORN,HOLD,NONE,NONE,gemstone,special,4,40000,500,0,NONE,GLOW ANTI_EVIL UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2SAVING_BREATH 2SAVING_SPELL,,,"in chest","Goblin Caves","Object 'A Multi-faceted Gemstone', Item type: WORN
Can be worn on: TAKE HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: gemstone
Size: special
Weight: 4, Value: 40000, Rent: 500, Min Level: 0
Item will give you following abilities:  NONE 
Item is: GLOW ANTI_EVIL UNIQUE UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   SAVING_BREATH By 2
   SAVING_SPELL By 2"
"a pink diamond orb",TREASURE,,NONE,NONE,diamond,special,0,0,0,0,NONE,!RENT !DONATE !SELL UNBREAKABLE,,,,,,,,,,,,,,,,,,,,,,,,,"Zealot","Caves of Fire","Object 'a pink diamond orb', Item type: TREASURE
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: diamond
Size: special
Weight: 0, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT !DONATE !SELL UNBREAKABLE "
"a red and yellow sash",WORN,WAIST,NONE,NONE,silk,special,2,42500,5800,20,NONE,ANTI_GOOD UNIQUE UNBREAKABLE,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,-1INT 10MAXMOVE 3MOVE_GAIN,,,"Zealot","Caves of Fire","Object 'a red and yellow sash', Item type: WORN
Can be worn on: TAKE WAIST 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: silk
Size: special
Weight: 2, Value: 42500, Rent: 5800, Min Level: 20
Item will give you following abilities:  NONE 
Item is: ANTI_GOOD UNIQUE UNBREAKABLE 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MOVE_GAIN By 3
   MAXMOVE By 10
   INT By -1"
"A pair of vermilion leg plates",ARMOR,LEGS,NONE,NONE,steel,large,11,49000,4100,15,NONE,UNIQUE UNBREAKABLE,,,,,10,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL -1DEX,,,"","Caves of Fire","Object 'A pair of vermilion leg plates', Item type: ARMOR
Can be worn on: TAKE LEGS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: steel
Size: large
Weight: 11, Value: 49000, Rent: 4100, Min Level: 15
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 10
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By -1
   DAMROLL By 2"
"A deva feather",ENCHANT_MATERIAL,,NONE,NONE,organic,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,1000,0,0,0,1,,,,,1WIS,,,random,random,"Object 'A deva feather', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 1000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   WIS By 1"
"a sanguine cape",ARMOR,NECK,WARRIOR WIZARD,NONE,silk,large,3,74800,6900,20,NONE,UNIQUE UNBREAKABLE,,,,,14,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL -20MAXHIT 1MELEE_CRIT_PCT,,,"","Caves of Fire","Object 'a sanguine cape', Item type: ARMOR
Can be worn on: TAKE NECK 
Class restrictions: WARRIOR WIZARD 
Race restrictions: NONE 
Object Material: silk
Size: large
Weight: 3, Value: 74800, Rent: 6900, Min Level: 20
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 14
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   MAXHIT By -20
   DAMROLL By 2
   MELEE_CRIT_PCT By 1"
"a suit of red plate mail",ARMOR,BODY,NONE,NONE,steel,large,12,63290,6390,20,REGENERATION,UNIQUE UNBREAKABLE,,,,,14,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,2DAMROLL 35MAXHIT 10SAVING_SPELL,,,"","Caves of Fire","Object 'a suit of red plate mail', Item type: ARMOR
Can be worn on: TAKE BODY 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: steel
Size: large
Weight: 12, Value: 63290, Rent: 6390, Min Level: 20
Item will give you following abilities:  REGENERATION 
Item is: UNIQUE UNBREAKABLE 
AP-apply is 14
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DAMROLL By 2
   MAXHIT By 35
   SAVING_SPELL By 10"
"a green diamond orb",TREASURE,,NONE,NONE,diamond,special,0,0,0,0,NONE,!RENT !DONATE !SELL UNBREAKABLE,,,,,,,,,,,,,,,,,,,,,,,,,"","Caves of Fire","Object 'a green diamond orb', Item type: TREASURE
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: diamond
Size: special
Weight: 0, Value: 0, Rent: 0, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !RENT !DONATE !SELL UNBREAKABLE "
"a small spool of copper wire",ENCHANT_MATERIAL,,NONE,NONE,copper,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,750,0,0,0,1,,,,,25RESIST_ELEC,,,random,random,"Object 'a small spool of copper wire', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: copper
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 750, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   RESIST_ELEC By 25"
"a sheet of chromium",ENCHANT_MATERIAL,,NONE,NONE,chromium,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,1000,0,0,0,1,,,,,30RESIST_GAS,,,random,random,"Object 'a sheet of chromium', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: chromium
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 1000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   RESIST_GAS By 30"
"superior enchanted gold armlet",ARMOR,ARMS,WIZARD,NONE,gold,special,2,45,3500,0,AIRWALK,!DONATE ANTI_EVIL !SELL UNBREAKABLE QUEST_ITEM PC_USE_ONLY,,,,,8,CUSTOMIZABLE,BIND_ON_EQUIP,4,,,,,,,,,,,,,,-1CON 10MAXHIT 2SPELL_CRIT_PCT,,,random,random,"Object 'superior enchanted gold armlet', Item type: ARMOR
Can be worn on: TAKE ARMS 
Class restrictions: WIZARD 
Race restrictions: NONE 
Object Material: gold
Size: special
Weight: 2, Value: 45, Rent: 3500, Min Level: 0
Item will give you following abilities:  AIRWALK 
Item is: !DONATE ANTI_EVIL !SELL UNBREAKABLE QUEST_ITEM PC_USE_ONLY 
AP-apply is 8
Customizations: CUSTOMIZABLE
Bindings: BIND_ON_EQUIP
Remaining Enchants Available: 4
Contains the following affect powers upon enchanting:
   SPELL_CRIT_PCT By 2
   MAXHIT By 10
   CON By -1"
"a weak tome of healing",ENCHANT_MATERIAL,,NONE,NONE,leather,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,1000,0,0,0,1,,,,,1HEAL_BONUS,,,random,random,"Object 'a weak tome of healing', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 1000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   HEAL_BONUS By 1"
"a pouch of frost crystals",ENCHANT_MATERIAL,,NONE,NONE,crystal,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,1000,0,0,0,1,,,,,30RESIST_COLD,,,random,random,"Object 'a pouch of frost crystals', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: crystal
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 1000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   RESIST_COLD By 30"
"A small oaken ring",ARMOR,FINGER,MAGIC_USER CLERIC FIGHTER BARD RANGER DRUID,NONE,wood,normal,1,4000,1000,0,NONE,ANTI_EVIL UNIQUE UNBREAKABLE,,,,,0,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1CHA,+20animal friendship,,"","","Object 'A small oaken ring', Item type: ARMOR
Can be worn on: TAKE FINGER 
Class restrictions: MAGIC_USER CLERIC FIGHTER BARD RANGER DRUID 
Race restrictions: NONE 
Object Material: wood
Size: normal
Weight: 1, Value: 4000, Rent: 1000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: ANTI_EVIL UNIQUE UNBREAKABLE 
AP-apply is 0
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   CHA By 1
Modifies the following proficiencies:
   +20 to animal friendship"
"A pair of rawhide gloves",ARMOR,HANDS,NONE,NONE,leather,normal,4,20000,5000,0,NONE,ANTI_EVIL UNBREAKABLE GOOD_FLAGGED,,,,,5,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,,,,,1DEX,+30hold animal,,"Goatleaf","Shire","Object 'A pair of rawhide gloves', Item type: ARMOR
Can be worn on: TAKE HANDS 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: leather
Size: normal
Weight: 4, Value: 20000, Rent: 5000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: ANTI_EVIL UNBREAKABLE GOOD_FLAGGED 
AP-apply is 5
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Can affect you as:
   DEX By 1
Modifies the following proficiencies:
   +30 to animal friendship
   +30 to hold animal"
"enchanted arming sword",WEAPON,WIELD,FIGHTER,NONE,elven steel,special,20,15,2000,0,NONE,!DONATE ANTI_GOOD ANTI_EVIL !SELL UNBREAKABLE MAIN_HAND_WPN QUEST_ITEM PC_USE_ONLY,,,,,,CUSTOMIZABLE,BIND_ON_EQUIP,4,0,2,,1,,,,,,stab,2D17,18.0,pierce attack,2ATK_/_2_ROUNDS -1DAMROLL,,,random,random,"Object 'enchanted arming sword', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: FIGHTER 
Race restrictions: NONE 
Object Material: elven steel
Size: special
Weight: 20, Value: 15, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE ANTI_GOOD ANTI_EVIL !SELL UNBREAKABLE MAIN_HAND_WPN QUEST_ITEM PC_USE_ONLY 
Customizations: CUSTOMIZABLE
Bindings: BIND_ON_EQUIP
Remaining Enchants Available: 4
Dice 1 Sockets Remaining: 0, Dice 2 Sockets Remaining: 2
Proficiency Sockets Remaining: 1
Damage Type: stab,  Damage Dice: '2D17', Average Damage 18.0.
Requires Weapon Skill: pierce attack
Contains the following affect powers upon enchanting:
   ATK_/_2_ROUNDS By 2
   DAMROLL By -1"
"a single dungeon master die",ENCHANT_MATERIAL,,NONE,NONE,bronze,special,1,5,3000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,3500,0,1,1,2,,,,,,,,random,random,"Object 'a single dungeon master die', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: bronze
Size: special
Weight: 1, Value: 5, Rent: 3000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 3500, Adds 0 to Natural Armor AC.
Adds 1 to Damage Dice 1, Adds 1 to Damage Dice 2.
Occupies 2 Sockets Upon Enchant."
"a lightning orb",ENCHANT_MATERIAL,,NONE,NONE,energy,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,2000,0,0,0,1,,,,,3ELEC_DMG,,,random,random,"Object 'a lightning orb', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: energy
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 2000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   ELEC_DMG By 3"
"The Wolf's Fang",WEAPON,WIELD HOLD,NONE,NONE,bone,normal,3,29092,2992,25,NONE,!IDENTIFY,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,stab,4D3,8.0,special attack,3DAMROLL 3HITROLL 1SIZE,,,"The master werewolf","Vrolok","Object 'The Wolf's Fang', Item type: WEAPON
Can be worn on: TAKE WIELD HOLD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: bone
Size: normal
Weight: 3, Value: 29092, Rent: 2992, Min Level: 25
Item will give you following abilities:  NONE 
Item is: !IDENTIFY
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: stab,  Damage Dice: '4D3', Average Damage 8.0.
Requires Weapon Skill: special attack
Can affect you as:
   DAMROLL By 3
   HITROLL By 3
   SIZE By 1"
"a bundle of deva feathers",ENCHANT_MATERIAL,,NONE,NONE,organic,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,2000,0,0,0,1,,,,,2WIS,,,random,random,"Object 'a bundle of deva feathers', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: organic
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 2000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   WIS By 2"
"a tiny vial of quickling blood",ENCHANT_MATERIAL,,NONE,NONE,glass,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,750,0,0,0,1,,,,,7MAXMOVE,,,random,random,"Object 'a tiny vial of quickling blood', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: glass
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 750, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   MAXMOVE By 7"
"a holy relic",ENCHANT_MATERIAL,,NONE,NONE,wood,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,2000,0,0,0,1,,,,,3DIVN_DMG,,,random,random,"Object 'a holy relic', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: wood
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 2000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   DIVN_DMG By 3"
"a clear resonating crystal",ENCHANT_MATERIAL,,NONE,NONE,crystal,special,1,3,3000,0,NONE,GLOW !DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,2000,0,0,0,1,,,,,2HITROLL,,,random,random,"Object 'a clear resonating crystal', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: crystal
Size: special
Weight: 1, Value: 3, Rent: 3000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: GLOW !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 2000, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   HITROLL By 2"
"a clear fire opal",ENCHANT_MATERIAL,,NONE,NONE,gemstone,special,1,3,2000,0,NONE,!DONATE !SELL UNBREAKABLE QUEST_ITEM,,,,,,,,,,,,,2500,0,0,0,1,,,,,2SPELL_CRIT_PCT,,,random,random,"Object 'a clear fire opal', Item type: ENCHANT_MATERIAL
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: gemstone
Size: special
Weight: 1, Value: 3, Rent: 2000, Min Level: 0
Item will give you following abilities:  NONE 
Item is: !DONATE !SELL UNBREAKABLE QUEST_ITEM 
Adds to Rent: 2500, Adds 0 to Natural Armor AC.
Adds 0 to Damage Dice 1, Adds 0 to Damage Dice 2.
Occupies 1 Sockets Upon Enchant.
Contains the following affect powers upon enchanting:
   SPELL_CRIT_PCT By 2"
"The First Dagger",WEAPON,WIELD,WARRIOR,NONE,mithril,special,9,87178,11811,20,REGENERATION,HUM MAGIC ANTI_EVIL UNIQUE UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,stab,8D4,20.0,pierce attack,10MELEE_CRIT_DMG 2MELEE_CRIT_PCT,,,"in footlocker","Pirate's Stronghold","Object 'The First Dagger', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: WARRIOR 
Race restrictions: NONE 
Object Material: mithril
Size: special
Weight: 9, Value: 87178, Rent: 11811, Min Level: 20
Item will give you following abilities:  REGENERATION 
Item is: HUM MAGIC ANTI_EVIL UNIQUE UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: stab,  Damage Dice: '8D4', Average Damage 20.0.
Requires Weapon Skill: pierce attack
Can affect you as:
   MELEE_CRIT_PCT By 2
   MELEE_CRIT_DMG By 10"
"a gleaming longblade",WEAPON,WIELD,NONE,NONE,steel,special,8,26062,2992,15,NONE,UNIQUE UNBREAKABLE MAIN_HAND_WPN,,,,,,UNCUSTOMIZABLE,NON-BINDING,,,,,,,,,,,slash,5D5,15.0,slash attack,2CON 1DAMROLL 3HITROLL 1MELEE_CRIT_PCT,,,"The Sentry Captain","Pirate's Stronghold","Object 'a gleaming longblade', Item type: WEAPON
Can be worn on: TAKE WIELD 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: steel
Size: special
Weight: 8, Value: 26062, Rent: 2992, Min Level: 15
Item will give you following abilities:  NONE 
Item is: UNIQUE UNBREAKABLE MAIN_HAND_WPN 
Customizations: UNCUSTOMIZABLE
Bindings: NON-BINDING
Damage Type: slash,  Damage Dice: '5D5', Average Damage 15.0.
Requires Weapon Skill: slash attack
Can affect you as:
   CON By 2
   HITROLL By 3
   DAMROLL By 1
   MELEE_CRIT_PCT By 1"
"an amber skull",TREASURE,,NONE,NONE,gemstone,special,1,127721,12721,0,NONE,UNBREAKABLE,,,,,,,,,,,,,,,,,,,,,,,,,"in barrel","Pirate's Stronghold","Object 'an amber skull', Item type: TREASURE
Can be worn on: TAKE 
Class restrictions: NONE 
Race restrictions: NONE 
Object Material: gemstone
Size: special
Weight: 1, Value: 127721, Rent: 12721, Min Level: 0
Item will give you following abilities:  NONE 
Item is: UNBREAKABLE "
